Tickers,Score
PARADEEP,5
LATENTVIEW,7
DYCL,5
BHAGYANGR,5
MIDHANI,6
INDOCO,7
IEX,6
TIRUMALCHM,6
GREENPANEL,5
FAZE3Q,6
PRSMJOHNSN,5
ARIES,6
BBOX,6
TEXRAIL,5
NTPC,8
TERASOFT,5
INDIACEM,7
STARCEMENT,6
PCBL,5
SMSPHARMA,6
GPTINFRA,5
DPWIRES,5
AUSOMENT,5
GRAPHITE,5
JAGSNPHARM,5
SAKAR,6
KIRIINDUS,6
JKIL,6
TIMETECHNO,6
GREAVESCOT,5
HARIOMPIPE,5
ASAL,5
CASTROLIND,7
KIOCL,6
SOUTHWEST,7
GPPL,6
BHARATWIRE,5
PPLPHARMA,5
HEIDELBERG,7
ICIL,6
HEG,5
IRCON,5
NAZARA,6
CROMPTON,6
RAILTEL,5
SALONA,6
RHIM,5
NLCINDIA,5
MODISONLTD,5
CSBBANK,5
JMFINANCIL,5
MRPL,5
MAHASTEEL,5
TEMBO,5
HINDCOMPOS,7
SANGHVIMOV,5
SAIL,6
WANBURY,6
BCONCEPTS,5
PRICOLLTD,7
SOFTTECH,6
RKFORGE,5
HECPROJECT,5
HUDCO,6
IRFC,5
ZODIAC,5
JWL,5
MOTHERSON,6
NELCAST,5
KHAITANLTD,5
KTKBANK,7
IIFL,6
MEGASOFT,5
CORDSCABLE,6
GOKULAGRO,7
EMKAY,5
JKTYRE,6
WINDMACHIN,5
NRBBEARING,6
HITECHCORP,6
GAIL,7
GREENPLY,5
ASHOKLEY,7
PLASTIBLEN,5
CLSEL,5
RECLTD,5
HEXATRADEX,5
TARC,5
INDOBORAX,5
LEMONTREE,7
GPIL,6
KARURVYSYA,5
MAANALU,5
SANDHAR,6
RVNL,5
PANACHE,5
GNA,7
BANSWRAS,5
INOXGREEN,5
SASTASUNDR,6
APOLLOPIPE,6
PARAGMILK,5
KAPSTON,7
KANPRPLA,5
SHREYANIND,5
BHEL,6
STERTOOLS,5
AARON,5
INFOBEAN,5
GMDCLTD,6
MMP,5
MODIRUBBER,5
JAMNAAUTO,6
RUBYMILLS,6
STEELCAS,7
COALINDIA,7
PANAMAPET,7
PFC,7
GRMOVER,6
EIFFL,5
5PAISA,6
NAVNETEDUL,6
BECTORFOOD,5
JOCIL,6
PFOCUS,5
NATIONALUM,7
STARTECK,5
CANTABIL,7
BHARATGEAR,5
MOIL,5
MMFL,6
SANDUMA,7
